,p,ratio,n,beta,Graph,TTE,Variance_Bound_SNIPE,rep,Rand,Variance_Estimate_SNIPE,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
87,0.2,2,25000,1,25000-0,14.981461127597775,43292.20576776118,1,Bernoulli,493.28259119982124,LS-Num,16.500615332658526,1.519154205060751,2.307829498753762,0.1014022725902398
88,0.2,2,25000,1,25000-0,14.981461127597775,43292.20576776118,1,Bernoulli,493.28259119982124,DM,5.061296890032998,-9.920164237564776,98.40965850025914,-0.6621626657823488
89,0.2,2,25000,1,25000-0,14.981461127597775,43292.20576776118,1,Bernoulli,493.28259119982124,DM($0.75$),5.253274507219814,-9.728186620377961,94.63761492090079,-0.6493483204023
90,0.2,2,25000,1,25000-1,15.001870189023379,40450.37799336248,0,Bernoulli,357.2049625210364,SNIPE(1),16.85598798884641,1.8541177998230332,3.4377528156206054,0.12359244390607117
91,0.2,2,25000,1,25000-1,15.001870189023379,40450.37799336248,0,Bernoulli,357.2049625210364,LS-Prop,13.221126398452743,-1.7807437905706358,3.1710484476558762,-0.11870145309439997
92,0.2,2,25000,1,25000-1,15.001870189023379,40450.37799336248,0,Bernoulli,357.2049625210364,LS-Num,16.58588452129049,1.5840143322671132,2.5091014048276286,0.10558779087597428
93,0.2,2,25000,1,25000-1,15.001870189023379,40450.37799336248,0,Bernoulli,357.2049625210364,DM,5.058158875643672,-9.943711313379707,98.87739468383558,-0.6628314462189758
94,0.2,2,25000,1,25000-1,15.001870189023379,40450.37799336248,0,Bernoulli,357.2049625210364,DM($0.75$),6.39910340345849,-8.602766785564889,74.00759636681845,-0.5734462888406667
95,0.2,2,25000,1,25000-1,15.001870189023379,40450.37799336248,1,Bernoulli,371.18892662715473,SNIPE(1),14.654235193125793,-0.34763499589758595,0.1208500903727146,-0.02317277722826483
96,0.2,2,25000,1,25000-1,15.001870189023379,40450.37799336248,1,Bernoulli,371.18892662715473,LS-Prop,12.963586891816199,-2.0382832972071796,4.154598799673772,-0.13586861314788326
97,0.2,2,25000,1,25000-1,15.001870189023379,40450.37799336248,1,Bernoulli,371.18892662715473,LS-Num,16.168704313245243,1.1668341242218645,1.3615018734486055,0.07777924415554655
98,0.2,2,25000,1,25000-1,15.001870189023379,40450.37799336248,1,Bernoulli,371.18892662715473,DM,4.948933264505859,-10.05293692451752,101.06154080832776,-0.6701122458633916
99,0.2,2,25000,1,25000-1,15.001870189023379,40450.37799336248,1,Bernoulli,371.18892662715473,DM($0.75$),6.951222034147216,-8.050648154876162,64.81293571361095,-0.5366429687391036
